db_id,sevM_id,label
dbpedia_5248,7.1m_234,True
dbpedia_4098,7.1m_25,True
dbpedia_3630,7.1m_97,True
dbpedia_1,7.1m_1546,True
dbpedia_3107,7.1m_439,True
dbpedia_2046,7.1m_1839,True
dbpedia_2777,7.1m_623,True
dbpedia_1117,7.1m_229,True
dbpedia_2865,7.1m_1687,True
dbpedia_3385,7.1m_300,True
dbpedia_1962,7.1m_173,True
dbpedia_3812,7.1m_129,True
dbpedia_1307,7.1m_480,True
dbpedia_3447,7.1m_892,True
dbpedia_3055,7.1m_1746,True
dbpedia_742,7.1m_1320,True
dbpedia_727,7.1m_1212,True
dbpedia_6466,7.1m_1140,True
dbpedia_3062,7.1m_659,True
dbpedia_340,7.1m_1304,True
dbpedia_6678,7.1m_253,True
dbpedia_193,7.1m_997,True
dbpedia_6363,7.1m_1157,True
dbpedia_4326,7.1m_205,True
dbpedia_4940,7.1m_855,True
dbpedia_2047,7.1m_266,True
dbpedia_1690,7.1m_618,True
dbpedia_1467,7.1m_454,True
dbpedia_1671,7.1m_1946,True
dbpedia_4996,7.1m_577,True
dbpedia_3412,7.1m_316,True
dbpedia_1720,7.1m_527,True
dbpedia_3507,7.1m_1643,True
dbpedia_2607,7.1m_1971,True
dbpedia_321,7.1m_786,True
dbpedia_402,7.1m_106,True
dbpedia_4155,7.1m_774,True
dbpedia_6879,7.1m_1631,True
dbpedia_924,7.1m_372,True
dbpedia_1470,7.1m_76,True
dbpedia_3133,7.1m_1551,True
dbpedia_352,7.1m_332,True
dbpedia_5850,7.1m_302,True
dbpedia_3787,7.1m_1307,True
dbpedia_4226,7.1m_1209,True
dbpedia_749,7.1m_273,True
dbpedia_4164,7.1m_1930,True
dbpedia_5161,7.1m_442,True
dbpedia_4373,7.1m_34,True
dbpedia_2087,7.1m_1250,True
dbpedia_1366,7.1m_67,True
dbpedia_6456,7.1m_911,True
dbpedia_6521,7.1m_1000,True
dbpedia_6483,7.1m_791,True
dbpedia_171,7.1m_1268,True
dbpedia_5542,7.1m_842,True
dbpedia_1927,7.1m_251,True
dbpedia_5825,7.1m_401,True
dbpedia_4447,7.1m_976,True
dbpedia_365,7.1m_1854,True
dbpedia_2640,7.1m_1710,True
dbpedia_1365,7.1m_405,True
dbpedia_3172,7.1m_8,True
dbpedia_3253,7.1m_1728,True
dbpedia_4717,7.1m_215,True
dbpedia_4693,7.1m_1120,True
dbpedia_6495,7.1m_771,True
dbpedia_744,7.1m_1497,True
dbpedia_3896,7.1m_1691,True
dbpedia_6279,7.1m_1649,True
dbpedia_5757,7.1m_1100,True
dbpedia_5696,7.1m_41,True
dbpedia_5781,7.1m_744,True
dbpedia_4721,7.1m_508,True
dbpedia_2802,7.1m_960,True
dbpedia_3209,7.1m_517,True
dbpedia_1938,7.1m_804,True
dbpedia_636,7.1m_1525,True
dbpedia_2115,7.1m_1309,True
dbpedia_4174,7.1m_613,True
dbpedia_735,7.1m_420,True
dbpedia_2755,7.1m_1325,True
dbpedia_6667,7.1m_1504,True
dbpedia_6708,7.1m_1660,True
dbpedia_3008,7.1m_1090,True
dbpedia_3261,7.1m_1273,True
dbpedia_4612,7.1m_1253,True
dbpedia_5302,7.1m_1141,True
dbpedia_3072,7.1m_218,True
dbpedia_2595,7.1m_1197,True
dbpedia_5684,7.1m_175,True
dbpedia_2932,7.1m_1841,True
dbpedia_4091,7.1m_1114,True
dbpedia_2304,7.1m_651,True
dbpedia_2228,7.1m_385,True
dbpedia_5251,7.1m_609,True
dbpedia_5014,7.1m_683,True
dbpedia_1824,7.1m_1959,True
dbpedia_6250,7.1m_1343,True
dbpedia_301,7.1m_113,True
dbpedia_6857,7.1m_1430,True
dbpedia_6383,7.1m_368,True
dbpedia_257,7.1m_1132,True
dbpedia_4793,7.1m_1905,True
dbpedia_2126,7.1m_152,True
dbpedia_6421,7.1m_257,True
dbpedia_3096,7.1m_552,True
dbpedia_6158,7.1m_204,True
dbpedia_5404,7.1m_968,True
dbpedia_3895,7.1m_219,True
dbpedia_1234,7.1m_1932,True
dbpedia_5512,7.1m_288,True
dbpedia_5284,7.1m_890,True
dbpedia_2387,7.1m_1794,True
dbpedia_2119,7.1m_1142,True
dbpedia_2402,7.1m_237,True
dbpedia_3145,7.1m_1557,True
dbpedia_4171,7.1m_1770,True
dbpedia_3394,7.1m_1021,True
dbpedia_135,7.1m_1091,True
dbpedia_5426,7.1m_1998,True
dbpedia_3529,7.1m_737,True
dbpedia_138,7.1m_1664,True
dbpedia_2340,7.1m_1550,True
dbpedia_2662,7.1m_603,True
dbpedia_1673,7.1m_1408,True
dbpedia_5808,7.1m_1698,True
dbpedia_1254,7.1m_428,True
dbpedia_3131,7.1m_1117,True
dbpedia_2204,7.1m_1179,True
dbpedia_5217,7.1m_559,True
dbpedia_6042,7.1m_1931,True
dbpedia_3757,7.1m_532,True
dbpedia_1101,7.1m_1116,True
dbpedia_265,7.1m_48,True
dbpedia_1612,7.1m_1085,True
dbpedia_4159,7.1m_329,True
dbpedia_6917,7.1m_254,True
dbpedia_2065,7.1m_1424,True
dbpedia_565,7.1m_478,True
dbpedia_6650,7.1m_506,True
dbpedia_5656,7.1m_586,True
dbpedia_543,7.1m_971,True
dbpedia_3862,7.1m_1630,True
dbpedia_6595,7.1m_178,True
dbpedia_3123,7.1m_503,True
dbpedia_142,7.1m_194,True
dbpedia_1689,7.1m_1242,True
dbpedia_2670,7.1m_1190,True
dbpedia_1339,7.1m_192,True
dbpedia_5739,7.1m_464,True
dbpedia_2394,7.1m_1252,True
dbpedia_2435,7.1m_1778,True
dbpedia_6640,7.1m_1925,True
dbpedia_1761,7.1m_1280,True
dbpedia_3620,7.1m_150,True
dbpedia_5714,7.1m_1733,True
dbpedia_355,7.1m_240,True
dbpedia_6301,7.1m_1633,True
dbpedia_1085,7.1m_1469,True
dbpedia_277,7.1m_1782,False
dbpedia_4725,7.1m_1245,True
dbpedia_4565,7.1m_228,False
dbpedia_2578,7.1m_1699,False
dbpedia_360,7.1m_490,False
dbpedia_300,7.1m_316,False
dbpedia_3816,7.1m_1250,False
dbpedia_5846,7.1m_947,True
dbpedia_1906,7.1m_1220,False
dbpedia_668,7.1m_1033,False
dbpedia_6379,7.1m_1792,False
dbpedia_5567,7.1m_490,False
dbpedia_4507,7.1m_87,False
dbpedia_4226,7.1m_469,False
dbpedia_107,7.1m_1377,False
dbpedia_3927,7.1m_1250,False
dbpedia_5930,7.1m_410,True
dbpedia_2583,7.1m_36,False
dbpedia_6466,7.1m_117,False
dbpedia_2359,7.1m_1880,False
dbpedia_2736,7.1m_1880,False
dbpedia_3421,7.1m_506,False
dbpedia_5447,7.1m_483,False
dbpedia_6298,7.1m_840,False
dbpedia_2277,7.1m_1873,False
dbpedia_2223,7.1m_483,False
dbpedia_5537,7.1m_840,False
dbpedia_5070,7.1m_506,False
dbpedia_6287,7.1m_388,False
dbpedia_4502,7.1m_123,False
dbpedia_5978,7.1m_316,False
dbpedia_3602,7.1m_503,False
dbpedia_5717,7.1m_1792,False
dbpedia_360,7.1m_316,False
dbpedia_1854,7.1m_44,False
dbpedia_1463,7.1m_1880,False
dbpedia_1202,7.1m_268,False
dbpedia_6645,7.1m_490,False
dbpedia_4237,7.1m_37,False
dbpedia_1307,7.1m_976,True
dbpedia_6443,7.1m_422,False
dbpedia_469,7.1m_240,False
dbpedia_3688,7.1m_800,False
dbpedia_1965,7.1m_268,False
dbpedia_6240,7.1m_1033,False
dbpedia_5219,7.1m_490,False
dbpedia_1272,7.1m_490,False
dbpedia_4929,7.1m_37,False
dbpedia_1641,7.1m_330,False
dbpedia_5519,7.1m_1778,False
dbpedia_454,7.1m_1782,False
dbpedia_1743,7.1m_1033,False
dbpedia_3959,7.1m_1782,False
dbpedia_5807,7.1m_506,False
dbpedia_880,7.1m_506,False
dbpedia_856,7.1m_872,False
dbpedia_2898,7.1m_1835,False
dbpedia_1925,7.1m_800,False
dbpedia_6351,7.1m_933,False
dbpedia_2861,7.1m_37,False
dbpedia_4637,7.1m_1146,False
dbpedia_6290,7.1m_50,False
dbpedia_6187,7.1m_1880,False
dbpedia_3354,7.1m_796,False
dbpedia_48,7.1m_1972,False
dbpedia_2725,7.1m_177,False
dbpedia_1322,7.1m_719,False
dbpedia_2306,7.1m_506,False
dbpedia_3253,7.1m_1544,False
dbpedia_2960,7.1m_1375,False
dbpedia_6645,7.1m_268,False
dbpedia_6677,7.1m_330,False
dbpedia_1050,7.1m_330,False
dbpedia_6434,7.1m_938,False
dbpedia_983,7.1m_37,False
dbpedia_4433,7.1m_1544,False
dbpedia_3213,7.1m_906,False
dbpedia_3778,7.1m_352,False
dbpedia_3422,7.1m_379,False
dbpedia_6178,7.1m_800,False
dbpedia_3935,7.1m_37,False
dbpedia_2174,7.1m_268,False
dbpedia_6103,7.1m_469,False
dbpedia_5827,7.1m_1714,False
dbpedia_6298,7.1m_1699,False
dbpedia_4604,7.1m_1160,True
dbpedia_6530,7.1m_490,False
dbpedia_5978,7.1m_1880,False
dbpedia_4393,7.1m_1998,False
dbpedia_3671,7.1m_113,False
dbpedia_3413,7.1m_1712,False
dbpedia_2478,7.1m_922,False
dbpedia_2820,7.1m_1859,False
dbpedia_698,7.1m_6,False
dbpedia_5895,7.1m_241,True
dbpedia_6662,7.1m_1778,False
dbpedia_2106,7.1m_397,False
dbpedia_233,7.1m_1126,False
dbpedia_2373,7.1m_37,False
dbpedia_3177,7.1m_360,False
dbpedia_4403,7.1m_1699,False
dbpedia_1225,7.1m_923,False
dbpedia_1836,7.1m_1320,False
dbpedia_3663,7.1m_507,False
dbpedia_3663,7.1m_1819,False
dbpedia_6450,7.1m_506,False
dbpedia_2133,7.1m_1250,False
dbpedia_5455,7.1m_1380,False
dbpedia_5609,7.1m_916,False
dbpedia_3927,7.1m_938,False
dbpedia_3303,7.1m_50,False
dbpedia_6884,7.1m_330,False
dbpedia_958,7.1m_1033,False
dbpedia_5947,7.1m_1918,False
dbpedia_1411,7.1m_676,False
dbpedia_893,7.1m_916,False
dbpedia_3688,7.1m_1880,False
dbpedia_4237,7.1m_490,False
dbpedia_1043,7.1m_1999,False
dbpedia_3,7.1m_840,False
dbpedia_5947,7.1m_268,False
dbpedia_5471,7.1m_1783,False
dbpedia_2105,7.1m_840,False
dbpedia_652,7.1m_1033,False
dbpedia_5823,7.1m_316,False
dbpedia_4261,7.1m_1880,False
dbpedia_2062,7.1m_1544,False
dbpedia_4664,7.1m_1880,False
dbpedia_1571,7.1m_304,False
dbpedia_216,7.1m_125,False
dbpedia_2487,7.1m_813,False
dbpedia_3741,7.1m_1339,False
dbpedia_1724,7.1m_293,False
dbpedia_5306,7.1m_1593,False
dbpedia_1967,7.1m_1700,False
dbpedia_2779,7.1m_769,False
dbpedia_1746,7.1m_1751,False
dbpedia_5137,7.1m_204,False
dbpedia_987,7.1m_632,False
dbpedia_2440,7.1m_938,False
dbpedia_2422,7.1m_422,False
dbpedia_5460,7.1m_1250,False
dbpedia_2628,7.1m_1972,False
dbpedia_668,7.1m_840,False
dbpedia_691,7.1m_177,False
dbpedia_534,7.1m_1972,False
dbpedia_3776,7.1m_1972,False
dbpedia_1358,7.1m_1972,False
dbpedia_277,7.1m_26,False
dbpedia_1109,7.1m_734,False
dbpedia_1411,7.1m_37,False
dbpedia_1004,7.1m_330,False
dbpedia_6114,7.1m_1267,False
dbpedia_2820,7.1m_26,False
dbpedia_2441,7.1m_1960,False
dbpedia_1619,7.1m_37,False
dbpedia_5659,7.1m_26,False
dbpedia_4146,7.1m_272,False
dbpedia_4021,7.1m_695,False
dbpedia_4041,7.1m_1700,False
dbpedia_3684,7.1m_272,False
dbpedia_1287,7.1m_1033,False
dbpedia_3981,7.1m_800,False
dbpedia_5573,7.1m_490,False
dbpedia_1359,7.1m_732,False
dbpedia_2143,7.1m_490,False
dbpedia_3,7.1m_1880,False
dbpedia_1395,7.1m_1792,False
dbpedia_5947,7.1m_800,False
dbpedia_2384,7.1m_469,False
dbpedia_6249,7.1m_469,False
dbpedia_4559,7.1m_739,False
dbpedia_262,7.1m_345,False
dbpedia_6909,7.1m_670,False
dbpedia_5710,7.1m_517,False
dbpedia_6408,7.1m_1250,False
dbpedia_3400,7.1m_844,False
dbpedia_871,7.1m_293,False
dbpedia_759,7.1m_1241,False
dbpedia_984,7.1m_128,False
dbpedia_2174,7.1m_1172,False
dbpedia_2141,7.1m_710,False
dbpedia_2071,7.1m_517,False
dbpedia_1401,7.1m_746,False
dbpedia_899,7.1m_588,False
dbpedia_6719,7.1m_130,False
dbpedia_1152,7.1m_846,False
dbpedia_921,7.1m_716,False
dbpedia_3816,7.1m_796,False
dbpedia_6362,7.1m_981,False
dbpedia_6605,7.1m_130,False
dbpedia_6240,7.1m_916,False
dbpedia_5219,7.1m_840,False
dbpedia_893,7.1m_800,False
dbpedia_5952,7.1m_1699,False
dbpedia_2689,7.1m_1699,False
dbpedia_2635,7.1m_37,False
dbpedia_2635,7.1m_1699,False
dbpedia_2993,7.1m_37,False
dbpedia_3595,7.1m_1880,False
dbpedia_2174,7.1m_1880,False
dbpedia_4929,7.1m_916,False
dbpedia_2768,7.1m_330,False
dbpedia_5674,7.1m_37,False
dbpedia_1389,7.1m_1680,False
dbpedia_4613,7.1m_1033,False
dbpedia_2231,7.1m_916,False
dbpedia_2367,7.1m_615,False
dbpedia_4559,7.1m_1348,False
dbpedia_3404,7.1m_938,False
dbpedia_714,7.1m_1960,False
dbpedia_356,7.1m_1458,False
dbpedia_2064,7.1m_168,False
dbpedia_4672,7.1m_1577,False
dbpedia_3058,7.1m_182,True
dbpedia_5251,7.1m_512,False
dbpedia_4377,7.1m_1374,False
dbpedia_1629,7.1m_452,False
dbpedia_6337,7.1m_537,False
dbpedia_4126,7.1m_1209,False
dbpedia_4995,7.1m_1897,False
dbpedia_3266,7.1m_1840,False
dbpedia_4370,7.1m_734,False
dbpedia_4998,7.1m_840,False
dbpedia_6434,7.1m_1778,False
dbpedia_1874,7.1m_388,False
dbpedia_4783,7.1m_388,False
dbpedia_2133,7.1m_422,False
dbpedia_1271,7.1m_1380,False
dbpedia_6290,7.1m_1237,False
dbpedia_2976,7.1m_268,False
dbpedia_4341,7.1m_1782,False
dbpedia_4224,7.1m_676,False
dbpedia_3690,7.1m_796,False
dbpedia_6443,7.1m_714,False
dbpedia_2079,7.1m_1835,False
dbpedia_4968,7.1m_330,False
dbpedia_6286,7.1m_923,False
dbpedia_4328,7.1m_1268,False
dbpedia_803,7.1m_507,False
dbpedia_1101,7.1m_263,False
dbpedia_3423,7.1m_467,False
dbpedia_5908,7.1m_981,False
