db_id,sevM_id,label
dbpedia_6626,7.1m_1995,False
dbpedia_3810,7.1m_364,False
dbpedia_2576,7.1m_1716,False
dbpedia_866,7.1m_1177,False
dbpedia_5308,7.1m_1566,False
dbpedia_1934,7.1m_281,False
dbpedia_3563,7.1m_846,False
dbpedia_3886,7.1m_1707,False
dbpedia_863,7.1m_593,False
dbpedia_4220,7.1m_756,False
dbpedia_3765,7.1m_916,False
dbpedia_1351,7.1m_157,False
dbpedia_1090,7.1m_677,False
dbpedia_4092,7.1m_431,False
dbpedia_6418,7.1m_1254,False
dbpedia_1031,7.1m_1658,False
dbpedia_3797,7.1m_73,False
dbpedia_6365,7.1m_1648,False
dbpedia_6666,7.1m_1834,False
dbpedia_3667,7.1m_317,False
dbpedia_5840,7.1m_797,False
dbpedia_1388,7.1m_769,False
dbpedia_700,7.1m_59,False
dbpedia_6258,7.1m_1861,False
dbpedia_4928,7.1m_98,False
dbpedia_3251,7.1m_1428,False
dbpedia_1173,7.1m_68,False
dbpedia_4690,7.1m_1195,False
dbpedia_2962,7.1m_1027,False
dbpedia_1562,7.1m_910,False
dbpedia_3661,7.1m_1814,False
dbpedia_3342,7.1m_1097,False
dbpedia_779,7.1m_1944,False
dbpedia_2377,7.1m_1014,False
dbpedia_6508,7.1m_1531,False
dbpedia_2046,7.1m_1926,False
dbpedia_3626,7.1m_1516,False
dbpedia_6070,7.1m_1312,False
dbpedia_2053,7.1m_1327,False
dbpedia_1494,7.1m_165,False
dbpedia_1195,7.1m_1693,False
dbpedia_1412,7.1m_472,False
dbpedia_3445,7.1m_961,False
dbpedia_1377,7.1m_1006,False
dbpedia_94,7.1m_1301,False
dbpedia_2918,7.1m_885,False
dbpedia_5999,7.1m_616,False
dbpedia_347,7.1m_1448,False
dbpedia_3200,7.1m_1311,False
dbpedia_5880,7.1m_916,False
dbpedia_1196,7.1m_482,False
dbpedia_4290,7.1m_232,False
dbpedia_4333,7.1m_1340,False
dbpedia_4221,7.1m_1292,False
dbpedia_5733,7.1m_1345,False
dbpedia_3735,7.1m_610,False
dbpedia_3135,7.1m_1883,False
dbpedia_3245,7.1m_77,False
dbpedia_1416,7.1m_1524,False
dbpedia_4884,7.1m_461,False
dbpedia_6426,7.1m_259,False
dbpedia_5090,7.1m_1271,False
dbpedia_1687,7.1m_1204,False
dbpedia_528,7.1m_1445,False
dbpedia_3015,7.1m_1903,False
dbpedia_1547,7.1m_771,False
dbpedia_4449,7.1m_1871,False
dbpedia_4887,7.1m_795,False
dbpedia_3241,7.1m_1786,False
dbpedia_4618,7.1m_1336,False
dbpedia_2026,7.1m_109,False
dbpedia_5783,7.1m_503,False
dbpedia_6766,7.1m_1478,False
dbpedia_1396,7.1m_810,False
dbpedia_3748,7.1m_1028,False
dbpedia_5097,7.1m_828,False
dbpedia_1472,7.1m_1265,False
dbpedia_2591,7.1m_853,False
dbpedia_1359,7.1m_724,False
dbpedia_6217,7.1m_796,False
dbpedia_5677,7.1m_1626,False
dbpedia_4007,7.1m_931,False
dbpedia_5915,7.1m_949,False
dbpedia_2717,7.1m_1979,False
dbpedia_2761,7.1m_1758,False
dbpedia_5781,7.1m_449,False
dbpedia_1880,7.1m_1479,False
dbpedia_4720,7.1m_1073,False
dbpedia_4685,7.1m_1813,False
dbpedia_4358,7.1m_1069,False
dbpedia_247,7.1m_1713,False
dbpedia_2754,7.1m_47,False
dbpedia_2937,7.1m_1794,False
dbpedia_1277,7.1m_1898,False
dbpedia_5822,7.1m_444,False
dbpedia_6062,7.1m_1200,False
dbpedia_6426,7.1m_447,False
dbpedia_5273,7.1m_1314,False
dbpedia_4032,7.1m_615,False
dbpedia_1868,7.1m_1571,False
dbpedia_494,7.1m_1438,False
dbpedia_873,7.1m_470,False
dbpedia_4054,7.1m_1614,False
dbpedia_3913,7.1m_931,False
dbpedia_6191,7.1m_1146,False
dbpedia_4621,7.1m_628,False
dbpedia_1949,7.1m_8,False
dbpedia_6880,7.1m_426,False
dbpedia_3182,7.1m_97,False
dbpedia_4585,7.1m_1150,False
dbpedia_3254,7.1m_791,False
dbpedia_3968,7.1m_1164,False
dbpedia_5894,7.1m_506,False
dbpedia_1421,7.1m_1693,False
dbpedia_4214,7.1m_454,False
dbpedia_3744,7.1m_1674,False
dbpedia_6872,7.1m_1626,False
dbpedia_425,7.1m_612,False
dbpedia_212,7.1m_1442,False
dbpedia_2574,7.1m_296,False
dbpedia_2687,7.1m_1263,False
dbpedia_4923,7.1m_1786,False
dbpedia_3179,7.1m_1907,False
dbpedia_6223,7.1m_1805,False
dbpedia_6202,7.1m_479,False
dbpedia_6430,7.1m_1535,False
dbpedia_1207,7.1m_310,False
dbpedia_4397,7.1m_806,False
dbpedia_4947,7.1m_1310,False
dbpedia_6900,7.1m_1310,False
dbpedia_5034,7.1m_1195,False
dbpedia_2697,7.1m_1564,False
dbpedia_2692,7.1m_787,False
dbpedia_321,7.1m_1947,False
dbpedia_110,7.1m_1267,False
dbpedia_5618,7.1m_1217,False
dbpedia_1985,7.1m_150,False
dbpedia_3279,7.1m_1631,False
dbpedia_2334,7.1m_1452,False
dbpedia_5637,7.1m_552,False
dbpedia_2796,7.1m_1639,False
dbpedia_2686,7.1m_272,False
dbpedia_4318,7.1m_429,False
dbpedia_1887,7.1m_456,False
dbpedia_5781,7.1m_1124,False
dbpedia_212,7.1m_703,False
dbpedia_6491,7.1m_1206,False
dbpedia_1781,7.1m_449,False
dbpedia_2032,7.1m_1885,False
dbpedia_6766,7.1m_221,False
dbpedia_1815,7.1m_1116,False
dbpedia_6609,7.1m_1239,False
dbpedia_6151,7.1m_439,False
dbpedia_1757,7.1m_310,False
dbpedia_3792,7.1m_1219,False
dbpedia_4136,7.1m_1124,False
dbpedia_6284,7.1m_1608,False
dbpedia_4320,7.1m_1579,False
dbpedia_2815,7.1m_747,False
dbpedia_489,7.1m_351,False
dbpedia_2592,7.1m_1315,False
dbpedia_4198,7.1m_74,False
dbpedia_4179,7.1m_1749,False
dbpedia_6707,7.1m_459,False
dbpedia_3614,7.1m_119,False
dbpedia_916,7.1m_660,False
dbpedia_4635,7.1m_1878,False
dbpedia_3299,7.1m_816,False
dbpedia_6554,7.1m_918,False
dbpedia_2586,7.1m_1460,False
dbpedia_4042,7.1m_457,False
dbpedia_1351,7.1m_817,False
dbpedia_3691,7.1m_142,False
dbpedia_520,7.1m_1226,False
dbpedia_3296,7.1m_1196,False
dbpedia_553,7.1m_1315,False
dbpedia_5729,7.1m_471,False
dbpedia_2648,7.1m_1682,False
dbpedia_106,7.1m_560,False
dbpedia_5616,7.1m_277,False
dbpedia_4365,7.1m_908,False
dbpedia_958,7.1m_1449,False
dbpedia_2286,7.1m_499,False
dbpedia_3236,7.1m_263,False
dbpedia_5572,7.1m_926,False
dbpedia_242,7.1m_408,False
dbpedia_2039,7.1m_1495,False
dbpedia_3787,7.1m_17,False
dbpedia_6083,7.1m_14,False
dbpedia_1228,7.1m_939,False
dbpedia_3082,7.1m_150,False
dbpedia_5724,7.1m_543,False
dbpedia_1066,7.1m_1081,False
dbpedia_4009,7.1m_1416,False
dbpedia_5256,7.1m_1224,False
dbpedia_4754,7.1m_1766,False
dbpedia_4000,7.1m_157,False
dbpedia_2231,7.1m_1638,False
dbpedia_2639,7.1m_395,False
dbpedia_4425,7.1m_1834,False
dbpedia_2313,7.1m_1874,False
dbpedia_6208,7.1m_1989,False
dbpedia_1159,7.1m_47,False
dbpedia_6752,7.1m_548,False
dbpedia_6480,7.1m_1951,False
dbpedia_3541,7.1m_1325,False
dbpedia_6387,7.1m_1459,False
dbpedia_4351,7.1m_466,False
dbpedia_790,7.1m_1446,False
dbpedia_1919,7.1m_1153,False
dbpedia_4508,7.1m_1706,False
dbpedia_4770,7.1m_1480,False
dbpedia_917,7.1m_1947,False
dbpedia_4368,7.1m_178,False
dbpedia_1437,7.1m_350,False
dbpedia_3104,7.1m_1788,False
dbpedia_2437,7.1m_693,False
dbpedia_6610,7.1m_1811,False
dbpedia_1845,7.1m_744,False
dbpedia_6126,7.1m_1612,False
dbpedia_6864,7.1m_110,False
dbpedia_5206,7.1m_754,False
dbpedia_582,7.1m_251,False
dbpedia_196,7.1m_409,False
dbpedia_4012,7.1m_1977,False
dbpedia_4795,7.1m_541,False
dbpedia_4948,7.1m_425,False
dbpedia_5024,7.1m_1593,False
dbpedia_3883,7.1m_1315,False
dbpedia_668,7.1m_1422,False
dbpedia_3718,7.1m_849,False
dbpedia_2273,7.1m_1537,False
dbpedia_3782,7.1m_1983,False
dbpedia_2355,7.1m_304,False
dbpedia_1796,7.1m_500,False
dbpedia_3723,7.1m_174,False
dbpedia_100,7.1m_1958,False
dbpedia_482,7.1m_1407,False
dbpedia_1028,7.1m_595,False
dbpedia_4127,7.1m_970,False
dbpedia_1389,7.1m_528,False
dbpedia_3928,7.1m_1624,False
dbpedia_221,7.1m_1778,False
dbpedia_397,7.1m_384,False
dbpedia_4693,7.1m_135,False
dbpedia_5263,7.1m_223,False
dbpedia_3851,7.1m_1616,False
dbpedia_2828,7.1m_5,False
dbpedia_4684,7.1m_812,False
dbpedia_447,7.1m_992,False
dbpedia_1128,7.1m_785,False
dbpedia_6192,7.1m_1479,False
dbpedia_1206,7.1m_737,False
dbpedia_968,7.1m_1435,False
dbpedia_2189,7.1m_1024,False
dbpedia_4753,7.1m_351,False
dbpedia_6021,7.1m_1408,False
dbpedia_5681,7.1m_1219,False
dbpedia_474,7.1m_452,False
dbpedia_4891,7.1m_920,False
dbpedia_2876,7.1m_382,False
dbpedia_4007,7.1m_1916,False
dbpedia_6274,7.1m_1315,False
dbpedia_1475,7.1m_749,False
dbpedia_6486,7.1m_794,False
dbpedia_507,7.1m_1897,False
dbpedia_6389,7.1m_625,False
dbpedia_5303,7.1m_630,False
dbpedia_6347,7.1m_34,False
dbpedia_6211,7.1m_1597,False
dbpedia_587,7.1m_1289,False
dbpedia_1149,7.1m_211,False
dbpedia_2136,7.1m_681,False
dbpedia_4585,7.1m_411,False
dbpedia_2184,7.1m_1054,False
dbpedia_575,7.1m_1808,False
dbpedia_3460,7.1m_758,False
dbpedia_1480,7.1m_743,False
dbpedia_3193,7.1m_209,False
dbpedia_385,7.1m_1632,False
dbpedia_3394,7.1m_1901,False
dbpedia_5404,7.1m_1879,False
dbpedia_5038,7.1m_472,False
dbpedia_5615,7.1m_905,False
dbpedia_845,7.1m_25,False
dbpedia_802,7.1m_1510,False
dbpedia_5770,7.1m_251,False
dbpedia_1294,7.1m_799,False
dbpedia_4113,7.1m_891,False
dbpedia_811,7.1m_1731,False
dbpedia_1295,7.1m_214,False
dbpedia_6521,7.1m_1185,False
dbpedia_4961,7.1m_53,False
dbpedia_1,7.1m_572,False
dbpedia_5427,7.1m_1656,False
dbpedia_1656,7.1m_158,False
dbpedia_2383,7.1m_19,False
dbpedia_5155,7.1m_633,False
dbpedia_972,7.1m_478,False
dbpedia_4429,7.1m_201,False
dbpedia_2906,7.1m_1296,False
dbpedia_1022,7.1m_154,False
dbpedia_3028,7.1m_703,False
dbpedia_2929,7.1m_1322,False
dbpedia_4417,7.1m_1199,False
dbpedia_5164,7.1m_785,False
dbpedia_2594,7.1m_1858,False
dbpedia_4986,7.1m_1631,False
dbpedia_4010,7.1m_1638,False
dbpedia_5935,7.1m_186,False
dbpedia_6505,7.1m_757,False
dbpedia_3983,7.1m_1058,False
dbpedia_4219,7.1m_810,False
dbpedia_4542,7.1m_694,False
dbpedia_1365,7.1m_1269,False
dbpedia_3822,7.1m_1887,False
dbpedia_4367,7.1m_1688,False
dbpedia_1534,7.1m_383,False
dbpedia_5939,7.1m_1513,False
dbpedia_3632,7.1m_997,False
dbpedia_3855,7.1m_1526,False
dbpedia_3983,7.1m_1480,False
dbpedia_1147,7.1m_1613,False
dbpedia_2906,7.1m_1893,False
dbpedia_2123,7.1m_1947,False
dbpedia_4780,7.1m_332,False
dbpedia_3413,7.1m_442,False
dbpedia_5692,7.1m_753,False
dbpedia_6350,7.1m_1326,False
dbpedia_119,7.1m_295,False
dbpedia_4547,7.1m_1385,False
dbpedia_4016,7.1m_1856,False
dbpedia_5491,7.1m_777,False
dbpedia_4010,7.1m_92,False
dbpedia_5872,7.1m_439,False
dbpedia_5804,7.1m_154,False
dbpedia_4046,7.1m_1374,False
dbpedia_1301,7.1m_1378,False
dbpedia_1995,7.1m_400,False
dbpedia_651,7.1m_1932,False
dbpedia_319,7.1m_271,False
dbpedia_1558,7.1m_837,False
dbpedia_3970,7.1m_1055,False
dbpedia_4184,7.1m_1822,False
dbpedia_4836,7.1m_969,False
dbpedia_5763,7.1m_52,False
dbpedia_6364,7.1m_566,False
dbpedia_1714,7.1m_928,False
dbpedia_6296,7.1m_1174,False
dbpedia_4313,7.1m_1035,False
dbpedia_4940,7.1m_108,False
dbpedia_58,7.1m_354,False
dbpedia_6841,7.1m_930,False
dbpedia_1245,7.1m_855,False
dbpedia_212,7.1m_788,False
dbpedia_3494,7.1m_266,False
dbpedia_3838,7.1m_25,False
dbpedia_6574,7.1m_1170,False
dbpedia_1692,7.1m_967,False
dbpedia_1302,7.1m_1251,False
dbpedia_464,7.1m_662,False
dbpedia_1785,7.1m_1158,False
dbpedia_5692,7.1m_1950,False
dbpedia_305,7.1m_1103,False
dbpedia_6623,7.1m_186,False
dbpedia_5347,7.1m_1047,False
dbpedia_4654,7.1m_1431,False
dbpedia_6559,7.1m_788,False
dbpedia_511,7.1m_448,False
dbpedia_4474,7.1m_271,False
dbpedia_1338,7.1m_58,False
dbpedia_1729,7.1m_508,False
dbpedia_4047,7.1m_671,False
dbpedia_6455,7.1m_720,False
dbpedia_5912,7.1m_1355,False
dbpedia_3809,7.1m_1769,False
dbpedia_361,7.1m_1163,False
dbpedia_5473,7.1m_579,False
dbpedia_4303,7.1m_202,False
dbpedia_6839,7.1m_1074,False
dbpedia_985,7.1m_191,False
dbpedia_1235,7.1m_915,False
dbpedia_2987,7.1m_767,False
dbpedia_3564,7.1m_74,False
dbpedia_5963,7.1m_73,False
dbpedia_3744,7.1m_815,False
dbpedia_5140,7.1m_171,False
dbpedia_1765,7.1m_169,False
dbpedia_4966,7.1m_76,False
dbpedia_1059,7.1m_443,False
dbpedia_3778,7.1m_1327,False
dbpedia_5698,7.1m_694,False
dbpedia_3631,7.1m_354,False
dbpedia_3481,7.1m_220,False
dbpedia_4706,7.1m_1536,False
dbpedia_6076,7.1m_45,False
dbpedia_1150,7.1m_48,False
